file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,b325c32e,karizabal,2025-04-11,19:39:26,-07:00,2025-04-11T19:39:26-07:00,0,5
style.css,2,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,40
style.css,3,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,1,32
style.css,4,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,0
style.css,5,css,6682deb2,karizabal,2025-04-11,18:46:36,-07:00,2025-04-11T18:46:36-07:00,0,0
style.css,6,css,be07beaf,karizabal,2025-04-18,19:08:52,-07:00,2025-04-18T19:08:52-07:00,0,22
style.css,7,css,be07beaf,karizabal,2025-04-18,19:08:52,-07:00,2025-04-18T19:08:52-07:00,1,21
style.css,8,css,be07beaf,karizabal,2025-04-18,19:08:52,-07:00,2025-04-18T19:08:52-07:00,0,0
style.css,9,css,be07beaf,karizabal,2025-04-18,19:08:52,-07:00,2025-04-18T19:08:52-07:00,0,0
style.css,10,css,be07beaf,karizabal,2025-04-18,19:08:52,-07:00,2025-04-18T19:08:52-07:00,0,35
style.css,11,css,bb050fe0,karizabal,2025-05-02,17:23:16,-07:00,2025-05-02T17:23:16-07:00,1,5
style.css,12,css,bb050fe0,karizabal,2025-05-02,17:23:16,-07:00,2025-05-02T17:23:16-07:00,2,17
style.css,13,css,bb050fe0,karizabal,2025-05-02,17:23:16,-07:00,2025-05-02T17:23:16-07:00,1,0
style.css,14,css,be07beaf,karizabal,2025-04-18,19:08:52,-07:00,2025-04-18T19:08:52-07:00,0,0
style.css,15,css,a511ccb2,karizabal,2025-04-25,11:57:14,-07:00,2025-04-25T11:57:14-07:00,0,0
style.css,16,css,be07beaf,karizabal,2025-04-18,19:08:52,-07:00,2025-04-18T19:08:52-07:00,0,36
style.css,17,css,bb050fe0,karizabal,2025-05-02,17:23:16,-07:00,2025-05-02T17:23:16-07:00,1,5
style.css,18,css,bb050fe0,karizabal,2025-05-02,17:23:16,-07:00,2025-05-02T17:23:16-07:00,2,18
style.css,19,css,bb050fe0,karizabal,2025-05-02,17:23:16,-07:00,2025-05-02T17:23:16-07:00,1,0
style.css,20,css,be07beaf,karizabal,2025-04-18,19:08:52,-07:00,2025-04-18T19:08:52-07:00,0,0
style.css,21,css,be07beaf,karizabal,2025-04-18,19:08:52,-07:00,2025-04-18T19:08:52-07:00,0,0
style.css,22,css,be07beaf,karizabal,2025-04-18,19:08:52,-07:00,2025-04-18T19:08:52-07:00,0,24
style.css,23,css,be07beaf,karizabal,2025-04-18,19:08:52,-07:00,2025-04-18T19:08:52-07:00,1,18
style.css,24,css,be07beaf,karizabal,2025-04-18,19:08:52,-07:00,2025-04-18T19:08:52-07:00,0,0
style.css,25,css,be07beaf,karizabal,2025-04-18,19:08:52,-07:00,2025-04-18T19:08:52-07:00,0,0
style.css,26,css,be07beaf,karizabal,2025-04-18,19:08:52,-07:00,2025-04-18T19:08:52-07:00,0,23
style.css,27,css,be07beaf,karizabal,2025-04-18,19:08:52,-07:00,2025-04-18T19:08:52-07:00,1,17
style.css,28,css,be07beaf,karizabal,2025-04-18,19:08:52,-07:00,2025-04-18T19:08:52-07:00,0,0
style.css,29,css,be07beaf,karizabal,2025-04-18,19:08:52,-07:00,2025-04-18T19:08:52-07:00,0,0
style.css,30,css,be07beaf,karizabal,2025-04-18,19:08:52,-07:00,2025-04-18T19:08:52-07:00,0,13
style.css,31,css,be07beaf,karizabal,2025-04-18,19:08:52,-07:00,2025-04-18T19:08:52-07:00,1,15
style.css,32,css,be07beaf,karizabal,2025-04-18,19:08:52,-07:00,2025-04-18T19:08:52-07:00,1,16
style.css,33,css,a511ccb2,karizabal,2025-04-25,11:57:14,-07:00,2025-04-25T11:57:14-07:00,1,19
